Disorder Strength,t=25,t=50,t=100,t=250,t=500,t=1000
0.0,0.3429932339095527,0.2835348910396561,0.23456267192744915,0.19993246210820864,0.18137648967903705,0.1624452905896874
0.02040816326530612,0.3433410267076687,0.2842052193717461,0.23603498763532646,0.20300151193795038,0.18692304437415244,0.1729080913102548
0.04081632653061224,0.3442945197719229,0.28606840613086976,0.24053920741842305,0.2121976995166764,0.20309728804333826,0.20223656515990276
0.061224489795918366,0.34570941080526874,0.2892442811312522,0.24747292976369617,0.22650464402190543,0.22694344963150165,0.23655157393903103
0.08163265306122448,0.3477745899431637,0.293317625628462,0.2563239675673457,0.24429442347764044,0.2514339209917119,0.2517733295030429
0.1020408163265306,0.35026875521703593,0.2987604213679083,0.2665524812708494,0.26319454543469606,0.2669824997452487,0.23378208800098843
0.12244897959183673,0.3529541486535226,0.3048905410906883,0.2787776115891357,0.2782037187276207,0.26456163400569216,0.19893998069126792
0.14285714285714285,0.3561373177744842,0.3113836784755547,0.29065883138639903,0.28638387163073264,0.24732057742736904,0.16146917283074846
0.16326530612244897,0.3607814582451624,0.3192418189335079,0.3015559139534495,0.28454522036291074,0.219851038742491,0.1322080980467295
0.18367346938775508,0.3646271564706127,0.32631961419956196,0.31084725838876376,0.2766637871453845,0.19686696164379147,0.11306766757138087
0.2040816326530612,0.3691719707358148,0.3319593046535419,0.31643607977521654,0.26039924801369435,0.17077736670888907,0.09528616325727562
0.22448979591836732,0.3713705559691611,0.3390574156083899,0.31875935829049085,0.24437700346660673,0.14776843596561146,0.0796994576853062
0.24489795918367346,0.37639575115364216,0.34555225054755745,0.31748938133361826,0.21924291793338957,0.13172992582376092,0.06952178782350713
0.26530612244897955,0.3801463472026045,0.34743935428524864,0.31139563299876355,0.20048647634096411,0.11469718280779,0.06062740373182925
0.2857142857142857,0.38308674504533485,0.3510136997719748,0.3051895857048641,0.1822504084873353,0.10263033666211724,0.053077929843853025
