Disorder Strength,t=20,t=30,t=40,t=60,t=80,t=100
0.0,0.013118023220158032,0.008097134362248813,0.005742003086222405,0.004888523778256701,0.0041929950793078916,0.0032750266617541696
0.05263157894736842,0.013424371429043902,0.008454129787094705,0.006035506429511848,0.005097441967738268,0.004703684148041619,0.003774264249446622
0.10526315789473684,0.014439895562256957,0.008595386952842283,0.00642898314284358,0.006093433921110641,0.0055323222563144845,0.00560507761802718
0.15789473684210525,0.015529301166530118,0.010053100750146237,0.008367755822512877,0.008521545652741514,0.009782432703533206,0.008723999043985275
0.21052631578947367,0.01500151580899884,0.012228066822371571,0.011021907462895447,0.014009812630926587,0.016233286627437664,0.01816778414715156
0.2631578947368421,0.01827359374727632,0.015616747093969931,0.014935631788019928,0.01779160388178004,0.023924100936645924,0.029192400753562085
0.3157894736842105,0.019302074627838593,0.020976890009656537,0.02167600370537118,0.026719298306794488,0.03162089148606678,0.032208220521978685
0.3684210526315789,0.024840597905223284,0.025001636604804537,0.026870226504770986,0.030658221694207538,0.03167066322284553,0.028481249200710376
0.42105263157894735,0.025486668369748312,0.02430837016173424,0.03151043175309109,0.03125255370234078,0.02613103954752844,0.02178638840196562
0.47368421052631576,0.026940770810991967,0.032408773391327056,0.03133123616457094,0.027171810835915425,0.019321339081021533,0.016153532789923482
0.5263157894736842,0.03240510028276489,0.031679394246168315,0.031074370272867437,0.022608868712514378,0.016872281548133566,0.012708201521915641
0.5789473684210527,0.03224102923441987,0.031646605220283314,0.025926528305704098,0.018009042831772664,0.01272522418370979,0.009629803681339123
0.631578947368421,0.03312406024956324,0.025128534361266705,0.023416186707271476,0.014688177380446196,0.00965062833428765,0.007706408173807419
0.6842105263157894,0.03197155871515903,0.023604262554797677,0.017797642564605108,0.011518570833783675,0.008223873614911621,0.006145865383050886
0.7368421052631579,0.028477116062966122,0.021250366530228753,0.015314501163542259,0.009403989841395528,0.006277092681057603,0.004756338510371728
0.7894736842105263,0.024971277806548474,0.01804538760274246,0.012803311003497055,0.007842290283262249,0.005136702879790331,0.003783011251216664
0.8421052631578947,0.021892397625812514,0.013352254231141246,0.00971032827706263,0.0061520158866382735,0.00429404231219276,0.003084469489892102
0.894736842105263,0.01495603086957079,0.011412593971071345,0.008897507608892965,0.004920816296731196,0.0034619190990789043,0.0024586083986592945
0.9473684210526315,0.015706608606205163,0.010273418328849346,0.007438423587045736,0.003993223296251781,0.002619481873250372,0.0018788300187411895
1.0,0.013874414404842234,0.008366550788009419,0.005377980338874314,0.003115649580938824,0.002073691762778269,0.0015701385284129237
